@RELATION twitter-adr
@ATTRIBUTE id NUMERIC
@ATTRIBUTE allergic NUMERIC
@ATTRIBUTE am NUMERIC
@ATTRIBUTE appetite NUMERIC
@ATTRIBUTE bad NUMERIC
@ATTRIBUTE bananas NUMERIC
@ATTRIBUTE bed NUMERIC
@ATTRIBUTE been NUMERIC
@ATTRIBUTE body NUMERIC
@ATTRIBUTE but NUMERIC
@ATTRIBUTE can NUMERIC
@ATTRIBUTE caused NUMERIC
@ATTRIBUTE causing NUMERIC
@ATTRIBUTE chemical NUMERIC
@ATTRIBUTE commercial NUMERIC
@ATTRIBUTE contain NUMERIC
@ATTRIBUTE crippled NUMERIC
@ATTRIBUTE crying NUMERIC
@ATTRIBUTE cymbalta NUMERIC
@ATTRIBUTE definitely NUMERIC
@ATTRIBUTE depression NUMERIC
@ATTRIBUTE diary NUMERIC
@ATTRIBUTE dont NUMERIC
@ATTRIBUTE drowsy NUMERIC
@ATTRIBUTE due NUMERIC
@ATTRIBUTE effexor NUMERIC
@ATTRIBUTE experiencing NUMERIC
@ATTRIBUTE fda NUMERIC
@ATTRIBUTE feel NUMERIC
@ATTRIBUTE fluid NUMERIC
@ATTRIBUTE found NUMERIC
@ATTRIBUTE gain NUMERIC
@ATTRIBUTE gained NUMERIC
@ATTRIBUTE glassncision NUMERIC
@ATTRIBUTE had NUMERIC
@ATTRIBUTE hating NUMERIC
@ATTRIBUTE headaches NUMERIC
@ATTRIBUTE help NUMERIC
@ATTRIBUTE hurts NUMERIC
@ATTRIBUTE i NUMERIC
@ATTRIBUTE is NUMERIC
@ATTRIBUTE it NUMERIC
@ATTRIBUTE lamotrigine NUMERIC
@ATTRIBUTE lbs NUMERIC
@ATTRIBUTE legs NUMERIC
@ATTRIBUTE lozenge NUMERIC
@ATTRIBUTE made NUMERIC
@ATTRIBUTE makes NUMERIC
@ATTRIBUTE making NUMERIC
@ATTRIBUTE me NUMERIC
@ATTRIBUTE messed NUMERIC
@ATTRIBUTE munchies NUMERIC
@ATTRIBUTE muscle NUMERIC
@ATTRIBUTE my NUMERIC
@ATTRIBUTE natural NUMERIC
@ATTRIBUTE neck NUMERIC
@ATTRIBUTE next NUMERIC
@ATTRIBUTE nicotine NUMERIC
@ATTRIBUTE nightmare NUMERIC
@ATTRIBUTE off NUMERIC
@ATTRIBUTE olanzapine NUMERIC
@ATTRIBUTE on NUMERIC
@ATTRIBUTE pain NUMERIC
@ATTRIBUTE pains NUMERIC
@ATTRIBUTE person NUMERIC
@ATTRIBUTE pic NUMERIC
@ATTRIBUTE prozac NUMERIC
@ATTRIBUTE quetiapine NUMERIC
@ATTRIBUTE restless NUMERIC
@ATTRIBUTE retention NUMERIC
@ATTRIBUTE rivaroxaban NUMERIC
@ATTRIBUTE rt NUMERIC
@ATTRIBUTE same NUMERIC
@ATTRIBUTE sense NUMERIC
@ATTRIBUTE seroquel NUMERIC
@ATTRIBUTE sick NUMERIC
@ATTRIBUTE since NUMERIC
@ATTRIBUTE skin NUMERIC
@ATTRIBUTE sleep NUMERIC
@ATTRIBUTE stone NUMERIC
@ATTRIBUTE taking NUMERIC
@ATTRIBUTE tendon NUMERIC
@ATTRIBUTE this NUMERIC
@ATTRIBUTE though NUMERIC
@ATTRIBUTE tired NUMERIC
@ATTRIBUTE uberfacts NUMERIC
@ATTRIBUTE up NUMERIC
@ATTRIBUTE was NUMERIC
@ATTRIBUTE weight NUMERIC
@ATTRIBUTE withdrawal NUMERIC
@ATTRIBUTE withdrawals NUMERIC
@ATTRIBUTE wondering NUMERIC
@ATTRIBUTE zombie NUMERIC
@ATTRIBUTE feel_like NUMERIC
@ATTRIBUTE side_effects NUMERIC
@ATTRIBUTE not_working NUMERIC
@ATTRIBUTE class {N,Y}
@DATA
326428925972582000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
326469551128723000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,?
326496283516882000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,?
326499885656461000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
326532133399166000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
326542608438550000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,?
326544453617733000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
326697058226552000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
326749581171912000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,?
326926314764382000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
